rxn32643, Metabolism of cofactors and vitamins
rxn32226, Carbohydrate metabolism
rxn33083, Amino acid metabolism
rxn32228, Metabolism of cofactors and vitamins
rxn06043, Lipid metabolism
rxn30129, Metabolism of cofactors and vitamins
rxn15454, Metabolism of cofactors and vitamins
rxn19488,
rxn06620,
rxn07346, Metabolism of cofactors and vitamins
rxn27766, Nucleotide metabolism
rxn28376, Nucleotide metabolism
rxn02000, Biosynthesis of other secondary metabolites
rxn32450, Metabolism of terpenoids and polyketides
rxn15005, Carbohydrate metabolism
rxn15478, Glycan biosynthesis and metabolism
rxn03041, Amino acid metabolism
rxn02885, Amino acid metabolism
rxn27717, Amino acid metabolism
rxn29942, Nucleotide metabolism
rxn00933, Amino acid metabolism
rxn14136, Metabolism of terpenoids and polyketides
rxn02663, Xenobiotics biodegradation and metabolism
rxn04259, Metabolism of terpenoids and polyketides
rxn04256, Metabolism of terpenoids and polyketides
rxn04257, Metabolism of terpenoids and polyketides
rxn04082, Carbohydrate metabolism
rxn05115, Nucleotide metabolism
rxn38278,
rxn32389, Lipid metabolism
rxn38702, Amino acid metabolism
rxn03869, Xenobiotics biodegradation and metabolism
rxn06522,
rxn38142, Amino acid metabolism
rxn01973, Amino acid metabolism
rxn33380,
rxn07824, Xenobiotics biodegradation and metabolism
rxn31851, Carbohydrate metabolism
rxn34306,
rxn15245, Carbohydrate metabolism
rxn27110, Amino acid metabolism
rxn34258,
rxn35425, Xenobiotics biodegradation and metabolism
rxn38280, Metabolism of cofactors and vitamins
rxn32754, Metabolism of cofactors and vitamins
rxn32658,
rxn33497, Energy metabolism
rxn38344, Metabolism of other amino acids
rxn02397, Amino acid metabolism
rxn01004, Amino acid metabolism
rxn35442, Carbohydrate metabolism
rxn01667, Carbohydrate metabolism
rxn35242, Carbohydrate metabolism
rxn35430, Amino acid metabolism
rxn35439,
rxn31689,
rxn32991, Amino acid metabolism
rxn33062,
rxn33412, Lipid metabolism
rxn01799, Nucleotide metabolism
rxn11757, Xenobiotics biodegradation and metabolism
rxn01366, Nucleotide metabolism
rxn27919, Nucleotide metabolism
rxn11772, Xenobiotics biodegradation and metabolism
rxn38134, Nucleotide metabolism
rxn02285, Carbohydrate metabolism
rxn02284, Carbohydrate metabolism
rxn31430,
rxn13939,
rxn38972,
rxn37873, Lipid metabolism
rxn31786,
rxn14044, Carbohydrate metabolism
rxn03644, Energy metabolism
rxn16622, Carbohydrate metabolism
rxn06023, Metabolism of cofactors and vitamins
rxn02128, Metabolism of cofactors and vitamins
rxn12510, Metabolism of cofactors and vitamins
rxn03047, Metabolism of cofactors and vitamins
rxn38829, Carbohydrate metabolism
rxn32605, Metabolism of other amino acids
rxn32961, Amino acid metabolism
rxn00426, Amino acid metabolism
rxn13996, Glycan biosynthesis and metabolism
rxn31834, Metabolism of cofactors and vitamins
rxn06874, Energy metabolism
rxn06926, Xenobiotics biodegradation and metabolism
rxn12649, Metabolism of cofactors and vitamins
rxn01601, Metabolism of cofactors and vitamins
rxn30104, Metabolism of cofactors and vitamins
rxn14120, Metabolism of cofactors and vitamins
rxn01602, Metabolism of cofactors and vitamins
rxn32434, Metabolism of cofactors and vitamins
rxn15783, Metabolism of cofactors and vitamins
rxn06831, Metabolism of cofactors and vitamins
rxn03397, Metabolism of cofactors and vitamins
rxn16584,
rxn04674, Metabolism of cofactors and vitamins
rxn38070, Amino acid metabolism
rxn33365, Nucleotide metabolism
rxn33241,
rxn32343, Metabolism of other amino acids
rxn35480,
rxn34185, Metabolism of other amino acids
rxn34567, Amino acid metabolism
rxn00855, Amino acid metabolism
rxn38275, Metabolism of cofactors and vitamins
rxn33182,
rxn07204, Energy metabolism
rxn32473, Nucleotide metabolism
rxn27685, Nucleotide metabolism
rxn38115, Carbohydrate metabolism
rxn35355, Carbohydrate metabolism
rxn15018, Nucleotide metabolism
rxn15049, Nucleotide metabolism
rxn02375, Nucleotide metabolism
rxn15060, Energy metabolism
rxn01187, Carbohydrate metabolism
rxn38274, Metabolism of cofactors and vitamins
rxn15443, Lipid metabolism
rxn00133, Nucleotide metabolism
rxn02020, Nucleotide metabolism
rxn00714, Nucleotide metabolism
rxn32324, Carbohydrate metabolism
rxn28109, Xenobiotics biodegradation and metabolism
rxn28046, Metabolism of cofactors and vitamins
rxn31983,
rxn37953,
rxn32376, Metabolism of terpenoids and polyketides
rxn28560, Nucleotide metabolism
rxn15536,
rxn15315, Lipid metabolism
rxn00193,
rxn33400,
rxn03378,
rxn06869,
rxn27916, Biosynthesis of other secondary metabolites
rxn33078, Amino acid metabolism
rxn11766, Xenobiotics biodegradation and metabolism
rxn32969, Nucleotide metabolism
rxn11765, Xenobiotics biodegradation and metabolism
rxn11773, Xenobiotics biodegradation and metabolism
rxn31210, Amino acid metabolism
rxn19980, Carbohydrate metabolism
rxn15194, Carbohydrate metabolism
rxn16503,
rxn34303, Carbohydrate metabolism
rxn15596,
rxn15233, Carbohydrate metabolism
rxn27692,
rxn30710, Nucleotide metabolism
rxn20619,
rxn34708,
rxn38011, Metabolism of other amino acids
rxn02286,
rxn30167,
rxn30166,
rxn30983,
rxn30447, Nucleotide metabolism
rxn33672, Nucleotide metabolism
rxn03599, Xenobiotics biodegradation and metabolism
rxn37906, Metabolism of other amino acids
rxn07436, Metabolism of cofactors and vitamins
rxn33633, Carbohydrate metabolism
rxn31730, Biosynthesis of other secondary metabolites
rxn06446,
rxn11548,
rxn27716, Carbohydrate metabolism
rxn34226,
rxn00829, Metabolism of terpenoids and polyketides
biomass_GmN,
EX_cpd00205,
rxn09149, Metabolism of cofactors and vitamins
rxn06362, Carbohydrate metabolism
EX_cpd00063,
rxn08231,
rxn46162,
rxn10089, Energy metabolism
rxn31475, Glycan biosynthesis and metabolism
rxn08921, Metabolism of cofactors and vitamins
EX_cpd00508,
rxn40668,
EX_cpd10515,
rxn09109, Metabolism of cofactors and vitamins
rxn06999, Carbohydrate metabolism
rxn07123, Metabolism of terpenoids and polyketides
rxn21635,
rxn05468,
rxn09640, Xenobiotics biodegradation and metabolism
rxn13679,
EX_cpd00119,
rxn07217,
rxn04897, Xenobiotics biodegradation and metabolism
EX_cpd00776,
dna_r,
